seed,entity,name,value,timestamp
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,32,1718281436.858
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,47,1718281436.681
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,31,1718281436.517
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,29,1718281436.369
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,31,1718281436.224
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281436.76
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281435.929
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281435.784
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281435.638
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,29,1718281435.493
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,29,1718281435.349
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281435.204
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,31,1718281435.57
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281434.908
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281434.763
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281434.618
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,31,1718281434.471
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,29,1718281434.324
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,29,1718281434.179
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,29,1718281434.33
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,29,1718281433.885
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281433.739
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,28,1718281433.599
42,f,9f651f74-f46c-46e4-aaa2-7aa25b437b98,30,1718281433.452
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281436.925
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,45,1718281436.771
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281436.585
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,31,1718281436.438
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281436.291
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281436.145
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,30,1718281435.997
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281435.851
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281435.706
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281435.560
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281435.415
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,29,1718281435.272
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,30,1718281435.126
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,30,1718281434.977
42,f,cc0b6a9f-6a49-4962-a659-ada22aad5035,28,1718281434.830
